YYYYMM,Label,Insight,,,,,,,
200601,2006 Q1,"Armenia is at 6. Azerbaijan has moved up to 4, and China is up to 5. England and France and Germany at 6.  India still at 3. Poland up to 5 with younger players Wojtasek and Miton added. Russia has 29, Ukraine has 10 with young players Karjakin, Areshchenko, Volokitin and Ponomariov and USA has 9 (6 ex-Soviet, 2 homegrown, and 1 retired).",,,,,,,
200604,2006 Q2,"France and Germany and England still 6.  For France, 4 are homegrown are 2 are ex-Soviet. Germany has 3 ex-Soviet. England is all homegrown. Norway now has one, Magnus Carlsen born in 1990 (future World Champion).  Ukraine has 10 and USA, 9. ",,,,,,,
200607,2006 Q3,"Armenia down to 5, Vaganian dropped off.  Bulgaria has 4 and China has 7.  France down to 4 (3 homegrown, 1 ex-Soviet) and Germany down to 3 (2 ex-Soviet plus homegrown Robert Huebner).  Russia has 29 (4 of which are juniors), Ukraine 10 and USA 8. ",,,,,,,
200610,2006 Q4,"Armenia steady at 5, England and Georgia have 6, Germany and Hungary 5, and India at 3.  Israel now has 6.  Russia at 28 and Ukraine is up to 11.  USA has dropped to 7 (4 are ex-Soviet).",,,,,,,
200701,2007 Q1,"Armenia still at 5, Azerbaijan at 3. Brazil now has 2 (Leitao, Vescovi).  Czech Republic also has 2 (Navara, Hracek).  France is at 5, Georgia up to 7 with 4 young players Gagunashvili, Izoria, Jobava, and Pantsulaia.  Hungary is at 5 and Israel is at 6 (Postny joined, originally from Novosibirsk, Siberia).  Russia now up to 32 and Serbia has 2.  USA up to 9 with 6 ex-Soviet.",,,,,,,
200704,2007 Q2,"China is at 4 and Germany and Hungary are at 6, with Georgia at 8.  Russia 31 (Tomashevsky is the new junior to join), Ukraine 11, and USA at 9. ",,,,,,,
200707,2007 Q3,"Azerbaijan has moved to 4 , all young (Gashimov, Guseinov, Mamedyarov, and Radjabov).   England is at 5 and Georgia is at 8.  India still at 3. Russia up to 32, Ukraine steady at 11, and USA down 1 to 8 (5 ex-Soviet).",,,,,,,
200710,2007 Q4,"China down to 3.  England steady at 5 and France is at 6 (1 ex-Soviet, 5 homegrown).  Russia gains one more to 33 (junior Grachev).  Ukraine gains one to 12 and USA at 8.",,,,,,,
200801,2008 Q1,"Armenia now up to 7 with 4 younger players Aronian, Asrian, T.L. Petrosian, and Sargissian. Bulgaria at 4 and England at 5. China steady at 3. Israel now up to 10, all from former Soviet republics.  Russia up to 36 with junior Vitiugov joining.  Ukraine at 14 and USA now 9 with 7 ex-Soviet.",,,,,,,
200804,2008 Q2,"Armenia down one to 6. China and Czech Republic 3.  England and Germany are 5 (Fridman from Latvia, Kritz from Moscow, others also from Soviet republics), and France and Georgia are 6.   India is now up to 5 with young players Ganguly, Harikrishna, Koneru (female), and Sasikiran along with Anand.  Russia is at 35, Ukraine 14, USA 8.",,,,,,,
200807,2008 Q3,"Armenia down 2 to 4.  Azerbaijan is at 5. China is up to 4. Germany up to 7 with ex-Soviet Dautov and homegrown Huebner re-added. The other 5 are all ex-Soviet.  Russia is now at 38 with young playes Khismatullin, Kurnosov added.  Ukraine 12 and USA 9 (2 homegrown).",,,,,,,
200810,2008 Q4,"Azerbaijan steady at 5. China moves up one more to 5 (young players Bu, Li and Zhou). Israel is at 8 and Russia is holding at 38. Ukraine moves up 3 to 15 (Korobov, Kryvoruchko, Kuzubov).  USA at 8.",,,,,,,
200901,2009 Q1,"Armenia at 5, China steady at 5, France 6 (newcomer Maxime Vachier-Lagrave with only 1 player ex-Soviet), India is at 6 with junior Negi joining.  Israel has 9 and Russia moves up to 41 and Ukraine adds one to 16. USA drops one to 7.",,,,,,,
200904,2009 Q2,Azerbaijan moves up to 6 with juniors N. Mamedov and R. Mamedov added. France adds one to 7  with Gharamian who came from Armenia. Hungary is at 5 and Israel is at 8 and Russia adds one more to 42. Lysyj is a junior newcomer.,,,,,,,"Ukraine steady at 16 and USA adds an ex-Cuban, Julio Becerra, to reach 8. "
200907,2009 Q3,"Armenia steady at 5. Germany is at 7, adding homegrown Rainer Buhmann and Georg Meier. There are 2 ex-Soviets.  India is at 5 and Poland has 8 (all homegrown, Wojtaszek is the youngest).  Russia adds one more to 43.  Ukraine still at 16 and USA drops one to 7 (2 home-grown).",,,,,,,
200911,2009 Q4,"Armenia adds one to 6 with junior Andriasian.  France is at 7 with newly added junior Edouard, 5 homegrown players.  India adds two to reach 7, with Sandipan added.  Russia adds two to reach 45.  The Ukraine country code does not exist and USA adds one to 8 (2 homegrown).",,,,,,,
201001,2010 Q1,"Armenia and Azerbaijan both at 6.  China is at 6.  England has 7 with Howell and McShane added. All home-grown. India steady at 7 , and Russia down one to 44.  Ukraine reappears with 15 and USA stays at 8. ",,,,,,,
201003,2010 Q2,Azerbaijan adds one to 7 with Safarli. Croatia and the Czech Republic have 3.  Egypt has one (Adly).  India adds one to 8 with junior Gopal.  Holland has 8 with one ex-Soviet and one from Bosnia. Russia is up to 47 including junior Khairullin. Ukraine adds one to 16 and USA down one to 7. ,,,,,,,
201007,2010 Q3,Armenia is at 7. Brazil has 3 and Bulgaria has 6 including Cheparinov.  China is at 5 and France now has 10 including players from Romania and Algeria.  Russia is up to 48 with new junior Andreikin and Ukraine is up to 17. USA has 6.,,,,,,,
201011,2010 Q4,Armenia and Azerbaijan at 6.  Georgia is at 6 and Germany is at 8 (5 are ex-Soviet). India is up to 9 with Gupta a new add.  Poland has 8 and Russia stays at 48.  Ukraine drops one to 16 and USA adds one to 7.  Robert Hess (homegrown) is a new addition.,,,,,,,
201101,2011 Q1,"Armenia moves up to 8 wth young players Grigoryan, Melkumyan and Pashikian. China is now at 7 with J Zhou, W Zhou, and future world champion Ding Liren.  Germany and Hungary at 8.  India at 7 and Russia up to 49.  Ukraine has 16 adding Kravtsiv and USA down to 6.",,,,,,,
